ticker,x,n,D_s,D_l,vol,r
SNA UN Equity,154.54,58.08654,18.4,861.7,23.0963604,0.5
SO UN Equity,53.39,938.5523,4050,24688,15.17177276,0.5
SPG UN Equity,224.22,309.4088,15931.34,6570.833,19.2370729,0.5
SPGI UN Equity,119.63,264,143,3468,27.32256205,0.5
SPLS UW Equity,8.87,646.2872,17,1018,44.32708383,0.5
SRCL UW Equity,88.19,84.9126,165.591,3052.639,41.01664042,0.5
SRE UN Equity,110.76,249.4967,1529,13134,19.56703341,0.5
STI UN Equity,41.4,501.1276,3772,8462,32.32243812,0.5
STJ UN Equity,83.37,284.2774,1163,5229,34.4460025,0.5
STT UN Equity,65.2,395.9403,1754,11534,35.62972297,0.5
STX UW Equity,30.86,298.4837,0,4130,65.37383015,0.5
STZ UN Equity,162.67,177.1544,1265,6816.2,24.35117021,0.5
SWK UN Equity,121.16,150.426,7.6,3836.6,22.20549663,0.5
SWKS UW Equity,64.98,190.2381,0,0,43.52283596,0.5
SWN UN Equity,13.47,493.4555,1,4728,100.4922671,0.5
SYF UN Equity,27.46,833.9254,0,24344,33.5857282,0.5
SYK UN Equity,115.74,374.3021,769,3253,17.92014431,0.5
SYMC UW Equity,20.64,612.2921,0,2207,24.55298685,0.5
SYY UN Equity,51.86,563.516,5050.052,2271.825,17.9769259,0.5
T UN Equity,43.02,6156,7636,118515,13.68563505,0.5
TAP UN Equity,100.99,193.9185,28.7,2908.7,22.64492229,0.5
TDC UN Equity,29.41,130,210,570,37.69317977,0.5
TDG UN Equity,277.23,52.97944,243.84,8183.502,30.10372831,0.5
TEL UN Equity,58.16,355.5499,500,3403,25.21949317,0.5
TGNA UN Equity,21.12,217.5879,0.646,4200.816,31.24937891,0.5
TGT UN Equity,74.16,589.2745,815,11945,23.47125166,0.5
TIF UN Equity,61.11,126.0176,305.8,798.1,27.6487641,0.5
TJX UN Equity,80.55,661.0835,0,1709.268,20.64222429,0.5
TMK UN Equity,60.71,120.6507,490.129,743.733,21.43028907,0.5
TMO UN Equity,156.48,393.5122,1052.8,11473.9,22.84712055,0.5
TRIP UW Equity,68.5,132.9062,1,200,39.53253054,0.5
TROW UW Equity,69.02,248.5521,0,0,24.27903793,0.5
TRV UN Equity,116.89,288.2813,500,5844,18.54172806,0.5
TSCO UW Equity,90.4,133.427,0.878,166.992,23.82846582,0.5
TSN UN Equity,73.59,300.5369,715,6010,27.27445405,0.5
TSO UN Equity,73.8,119.9758,6,4067,43.69789836,0.5
TSS UN Equity,48.77,183.612,53.832,1383.634,33.89494409,0.5
TWX UN Equity,76.21,786.3943,198,23623,24.53828565,0.5
TXN UW Equity,68.815,1004.227,1000,3120,23.83660025,0.5
TXT UN Equity,38.17,269.4636,262,3348,31.45909688,0.5
TYC UN Equity,44.99,426.2244,987,2159,26.34133803,0.5
UA UN Equity,38.16,183.1411,42,627,45.03216514,0.5
UAL UN Equity,44.73,322.4083,1359,10400,41.69265195,0.5
UDR UN Equity,37.22,267.0577,2193.85,1376.945,23.14687468,0.5
UHS UN Equity,125.12,89.76393,64.279,3410.659,28.91659294,0.5
ULTA UW Equity,256.44,62.45463,0,0,35.01971435,0.5
UNH UN Equity,142.79,950.8041,6634,25460,20.65184107,0.5
UNM UN Equity,32.76,234.6429,704.8,2122.7,32.25449017,0.5
UNP UN Equity,91.25,832.9138,594,13607,26.41187061,0.5
UPS UN Equity,107.3,690.4512,3018,11316,14.88404702,0.5
URBN UW Equity,28.77,117.1365,0,150,42.68264715,0.5
URI UN Equity,75.45,86.16104,607,7555,51.68012439,0.5
USB UN Equity,41.35,1726.403,27877,32078,23.90470316,0.5
UTX UN Equity,106.24,836.9269,1105,19320,18.67190429,0.5
V UN Equity,78.24,1886.434,0,0,24.26286034,0.5
VAR UN Equity,94.45,95.21455,158.446,337.5,20.68106808,0.5
VFC UN Equity,60.46,417.0182,462.869,1401.82,26.89155789,0.5
VIAB UW Equity,43.44,346.6087,18,12267,52.18935444,0.5
VLO UN Equity,52.34,469.8026,127,7250,36.12611657,0.5
VMC UN Equity,115.76,133.1882,0.13,1980.334,26.90763643,0.5
VNO UN Equity,105.29,188.8255,1577.297,9513.713,20.75743838,0.5
VRSK UW Equity,83.95,168.1664,874.811,2293.179,19.80131358,0.5
VRSN UW Equity,84.32,106.7665,634.326,1235.354,24.68077052,0.5
VRTX UW Equity,96.855,247.7787,15.545,266.892,44.5762056,0.5
VTR UN Equity,75.24,351.3501,9199.751,2007.245,23.96288661,0.5
VZ UN Equity,53.98,4076.302,6489,103705,16.42010365,0.5
WAT UN Equity,157.09,80.94149,175.309,1493.027,21.40002599,0.5
WBA UW Equity,78.95,1082.317,1068,13315,23.58567842,0.5
WDC UW Equity,45.11,281.4374,3334,13660,53.75790017,0.5
WEC UN Equity,64.63,315.6472,1252.7,9124.1,17.76138148,0.5
WFC UN Equity,47.66,5077.048,97528,199536,23.65913423,0.5
WFM UW Equity,30.16,321.0272,3,62,31.94995659,0.5
WHR UN Equity,190.34,75.44427,528,3470,30.12559044,0.5
WM UN Equity,66.11,442.2889,253,8728,14.75064605,0.5
WMB UN Equity,23.58,750.6576,675,23812,102.8780379,0.5
WMT UN Equity,72.79,3116.647,6004,40386,21.28445374,0.5
WRK UN Equity,40.88,252.6096,74.1,5558.3,43.97808125,0.5
WU UN Equity,19.62,491.1366,0,3225.6,24.23787285,0.5
WY UN Equity,32.485,747.0736,0,5402,28.11342505,0.5
WYN UN Equity,68.35,109.875,44,3034,29.77537651,0.5
WYNN UW Equity,96.77,101.7909,16,9212.765,56.67588025,0.5
XEC UN Equity,115.55,94.81501,0,1485.62,47.18458779,0.5
XEL UN Equity,43.675,507.9528,1503.021,12490.719,16.32396978,0.5
XL UN Equity,33.72,283.3685,0,2644.97,25.23421308,0.5
XLNX UW Equity,50.68,253.4821,587.106,995.835,26.39978866,0.5
XOM UN Equity,85.87,4146.611,18762,19925,22.55511071,0.5
XRAY UW Equity,64.34,234.2309,12.1,1141,20.92016463,0.5
XRX UN Equity,9.875,1013.002,985,6382,33.9339507,0.5
XYL UN Equity,46.29,179.1816,78,1196,19.73246307,0.5
YHOO UW Equity,38.46,949.9191,0,1233.485,33.13718194,0.5
YUM UN Equity,88.18,389.8871,923,3054,23.8589408,0.5
ZBH UN Equity,130.06,199.6788,0,11556.3,19.60544608,0.5
ZION UW Equity,26.87,204.6235,346.987,892.186,37.01759231,0.5
ZTS UN Equity,49.51,496.2024,405,4463,23.1771971,0.5
